params,values,,,,
field,KW_Merged,,,,
ngrams,1,,,,
method,MCA,,,,
minDegree,6,,,,
clust,1,,,,
k.max,8,,,,
stemming,FALSE,,,,
labelsize,5,,,,
documents,5,,,,
graph,FALSE,,,,
,,,,,
,,,,,
word,Dim1,Dim2,cluster,,
"robert h. jongeward, 1975, s114265899",-0.52,-0.52,0.01,26,1
"asher koriat, 2006, s62013203",0.17,0.17,0,26,1
"benjamin c. storm, 2013, s18666220",-0.15,-0.15,0,24,1
"wendy s. francis, 2010, s47258695",-0.07,-0.07,0,24,1
"faria sana, 2018, s2764634622",-0.07,-0.07,0.01,23,1
"robert a. bjork, 1968, s126294776",0.28,0.28,0,22,1
"steven c. pan, 2021, s187318745",0.17,0.17,0,21,1
"michael s. cohen, 2013, s18666220",-0.35,-0.35,0.01,20,1
"robert a. bjork, 2016, s13069421",0.18,0.18,0,18,1
"katharina kircanski, 2008, s186589312",0.05,0.05,0,18,1
"katharina kircanski, 2015, s2764897075",0.02,0.02,0,17,1
"stephen j. ceci, 2000, s58854535",0.34,0.34,0,16,1
"barbara a. spellman, 2008, ",0.15,0.15,0,15,1
"sharon m. noh, 2014, s58854535",0.14,0.14,0,15,1
"saskia giebl, 2015, s59062809",-0.36,-0.36,0,13,1
"faria sana, 2020, s79587319",0.27,0.27,0,12,1
"courtney m. clark, 2014, ",0.19,0.19,0,12,1
"erin m. sparck, 2016, s3035657644",-0.45,-0.45,0.01,11,1
"daniel r. kimball, 2008, s138679565",-0.3,-0.3,0,11,1
"veronica x. yan, 2016, ",0.17,0.17,0,10,1
"robert a. bjork, 1992, s2764631557",0.12,0.12,0,10,1
"megan n. imundo, 2020, s59062809",-0.74,-0.74,0.01,9,1
"saskia giebl, 2020, s2764461159",-0.62,-0.62,0.01,9,1
"jordan andrew brabec, 2020, s187318745",-0.35,-0.35,0.01,9,1
"robert a. bjork, 2014, ",0.31,0.31,0,9,1
"dorothy r. buchli, 2015, s59062809",-0.07,-0.07,0,9,1
"janet metcalfe, 2024, s96095673",-0.02,-0.02,0,8,1
"robert a. bjork, 2000, s80146597",0.38,0.38,0,8,1
"lindsey e. richland, 2004, s4306523994",0.18,0.18,0,8,1
"oliver kliegl, 2019, s9692511",-0.07,-0.07,0,7,1
"robert a. bjork, 1996, s59628311",0.02,0.02,0,7,1
"r. d. fulk, 2008, ",0.31,0.31,0,6,1
"benjamin c. storm, 2016, s114265899",0.12,0.12,0,6,1
"dillon h. murphy, 2022, s59062809",-0.9,-0.9,0.02,5,1
"robert a. bjork, 2001, s2764590216",0.27,0.27,0,5,1
"alan richardson‐klavehn, 1988, s2764736474",0.17,0.17,0,5,1
"john c. jahnke, 1985, s114265899",-0.05,-0.05,0,5,1
"saskia giebl, 2022, s2764634622",0.18,0.18,0,4,1
"a.m. chen, 2024, s91386000",0.21,0.21,0,3,1
"courtney m. clark, 2021, s108832698",-0.22,-0.22,0,3,1
"john dunlosky, 2013, ",0.16,0.16,0,3,1
"robert a. bjork, 1991, s2764590216",0.26,0.26,0,2,1
"aaron s. benjamin, 1997, s59628311",0.23,0.23,0,1,1
"riley sandberg, 2020, ",0.2,0.2,0,1,1
"harold pashler, 2015, s206630335",0.42,0.42,0,0,1
"matthew hays, 2012, ",-0.11,-0.11,0,0,1
"harold pashler, 2015, ",0.37,0.37,0,0,1
"janet metcalfe, 1991, ",0.34,0.34,0,0,1
"matthew hays, 1994, ",0.26,0.26,0,0,1
"jingqi yu, 2017, s78735424",0.21,0.21,0,0,1
"robert a. bjork, 2022, s4210190338",0.26,0.26,0,0,1
"robert a. bjork, 1996, s35223124",0.23,0.23,0,0,1
"robert a. bjork, 2000, s2764590216",0.24,0.24,0,0,1
"wayne lee, 1968, s4394736638",0.23,0.23,0,0,1
"nate kornell, 2025, s4210194710",-0.08,-0.08,0,0,1
"michael c. anderson, 1990, s2764736474",0.13,0.13,0,0,1
"sharon m. noh, 2024, s2764634622",0.14,0.14,0,0,1
"robert a. bjork, 2000, s35223124",0.17,0.17,0,0,1
"michael c. anderson, 1994, s18666220-a",-0.06,-0.06,0.01,,1
"robert a. bjork, 2000, s80146597-a",0.41,0.41,0,,1
"robert a. bjork, 2022, s4210190338-a-b-c-d",0.32,0.32,0,,1
"robert a. bjork, 1970, s17882476-a",-0.25,-0.25,0,,1
"robert a. bjork, 2000, s2764590216-a-b",0.24,0.24,0,,1
"r. edward geiselman, 1983, s62013203-a",0.11,0.11,0,,1
"veronica x. yan, 2014, s2764634622-a",0.21,0.21,0,,1
"aaron s. benjamin, 2000, s18666220-a",0.21,0.21,0,,1
"elliot hirshman, 1988, s18666220-a",0.18,0.18,0,,1
"robert a. bjork, 2014, -a",0.16,0.16,0,,1
"robert a. bjork, 1978, s4210236024-a",0.17,0.17,0,,1
"asher koriat, 2006, s18666220-a",0.1,0.1,0,,1
"daniel r. kimball, 2002, s62013203-a",0.14,0.14,0,,1
"dominic a. simon, 2001, s18666220-a",0.13,0.13,0,,1
"dominic a. simon, 2002, s79587319-a",0.14,0.14,0,,1
"robert a. bjork, 2022, s4210190338-a-b-c",0.06,0.06,0,,1
"robert a. bjork, 2022, s4210190338-a",0.06,0.06,0,,1
